City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
604,Batticaloa,LK,78.71,scattered clouds,7.7102,81.6924,Grand Star Guest House
607,Eirunepe,BR,79.14,moderate rain,-6.6603,-69.8736,Atrás de você
610,Karratha,AU,75.47,clear sky,-20.7377,116.8463,ibis Styles Karratha
615,Tchamba,TG,82.4,light rain,9.0333,1.4167,ROYAL HOTEL TCHAMBA
618,Biak,ID,75.13,broken clouds,-0.9131,122.8766,Penginapan Kim
623,Cortez,US,75.2,clear sky,37.3489,-108.5859,Sand Canyon National 9 Inn
625,Kilindoni,TZ,80.24,light rain,-7.9139,39.6668,Bustani B&B
627,Rey Bouba,CM,87.87,broken clouds,8.6724,14.1786,
628,Basco,PH,75.92,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
629,Kloulklubed,PW,78.8,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
631,Morondava,MG,75.42,overcast clouds,-20.2833,44.2833,La Case Bambou
632,Poum,NC,77.11,overcast clouds,-20.2333,164.0167,Gîte kajeon
633,San Cristobal,VE,87.8,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
643,Bathsheba,BB,82.4,few clouds,13.2167,-59.5167,Atlantis Hotel
644,Tautira,PF,86.0,scattered clouds,-17.7333,-149.15,Pension Oaoa
649,Bo Rai,TH,82.0,overcast clouds,12.5728,102.5371,Baiboon Resort
655,Puri,IN,82.4,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
656,Talara,PE,82.4,clear sky,-4.5772,-81.2719,Hostal Oro Negro
657,Cururupu,BR,76.66,overcast clouds,-1.8283,-44.8683,Pousada Través'cia
660,Phatthalung,TH,77.67,broken clouds,7.5,100.0833,Ozone Resort & Pool Villa
661,Haapiti,PF,86.0,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
664,Paita,PE,82.4,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
679,Meulaboh,ID,76.53,broken clouds,4.1363,96.1285,Kost Pria
681,Auki,SB,80.83,broken clouds,-8.7676,160.7034,Auki Motel
684,Vung Tau,VN,82.47,overcast clouds,10.346,107.0843,Green hotel
685,Morant Bay,JM,82.4,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
686,Buritis,BR,81.46,overcast clouds,-15.6178,-46.4233,Hotel Rainha do Vale
687,Kishi,NG,76.86,overcast clouds,9.0833,3.85,NCCF Kishi
692,Taki,IN,84.2,haze,22.5861,88.9214,Taki Bishram Baganbari
697,Kontagora,NG,76.71,light rain,10.3999,5.4695,Queens Guest Inn
699,Doha,QA,82.99,haze,25.2867,51.5333,Movenpick Hotel Doha
700,Yaan,NG,81.93,overcast clouds,7.3833,8.5667,
701,Puerto Madero,MX,89.6,few clouds,14.7208,-92.4215,Hotel La Central
712,Kota Kinabalu,MY,78.8,few clouds,5.9749,116.0724,Gaya Centre Hotel
713,Bang Saphan,TH,75.25,overcast clouds,11.2126,99.5117,Ladawan Boutique Hotel
714,Noumea,NC,77.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
715,Meoqui,MX,87.8,broken clouds,28.2833,-105.4833,Hotel Paraíso Dorado
