City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
59,Mataura,-46.1927,168.8643,46.0,80,66,13.0,NZ,broken clouds,2021-04-25 21:00:59
60,The Pas,53.8251,-101.2541,46.4,29,40,14.97,CA,scattered clouds,2021-04-25 21:05:57
61,Cape Town,-33.9258,18.4232,62.01,94,20,8.05,ZA,few clouds,2021-04-25 21:05:57
62,Pisco,-13.7,-76.2167,69.01,88,20,11.5,PE,few clouds,2021-04-25 21:05:58
63,Sundsvall,62.3913,17.3063,37.99,51,40,6.91,SE,scattered clouds,2021-04-25 21:05:58
64,Atuona,-9.8,-139.0333,79.86,73,47,14.85,PF,scattered clouds,2021-04-25 21:05:59
65,Riyadh,24.6877,46.7219,82.4,20,0,3.44,SA,clear sky,2021-04-25 21:02:13
66,Arraial Do Cabo,-22.9661,-42.0278,77.0,78,0,8.05,BR,clear sky,2021-04-25 21:01:39
67,Avarua,-21.2078,-159.775,80.6,83,75,10.36,CK,light rain,2021-04-25 21:06:00
68,Fukue,32.6881,128.8419,58.78,59,85,29.55,JP,overcast clouds,2021-04-25 21:06:00
69,Ferme-Neuve,46.7001,-75.4493,46.4,81,100,16.11,CA,overcast clouds,2021-04-25 21:06:00
70,Barrow,71.2906,-156.7887,15.8,92,1,18.41,US,clear sky,2021-04-25 21:06:01
71,Dikson,73.5069,80.5464,16.45,91,100,11.34,RU,overcast clouds,2021-04-25 21:01:50
72,Ulaanbaatar,47.9077,106.8832,30.2,80,75,11.18,MN,light snow,2021-04-25 21:06:01
73,New Norfolk,-42.7826,147.0587,55.0,76,97,5.01,AU,overcast clouds,2021-04-25 21:06:02
74,Lompoc,34.6391,-120.4579,59.0,67,100,12.66,US,overcast clouds,2021-04-25 21:05:47
75,Komsomolskiy,40.4272,71.7189,59.0,55,0,4.61,UZ,clear sky,2021-04-25 21:03:07
76,Cravo Norte,6.3017,-70.2041,97.39,31,91,5.14,CO,overcast clouds,2021-04-25 21:06:03
77,Port Lincoln,-34.7333,135.8667,59.29,79,7,6.85,AU,clear sky,2021-04-25 21:03:22
78,Thompson,55.7435,-97.8558,39.2,35,75,10.36,CA,broken clouds,2021-04-25 21:06:03
79,Lebu,-37.6167,-73.65,58.5,81,0,11.86,CL,clear sky,2021-04-25 21:06:04
80,Chuy,-33.6971,-53.4616,62.65,80,98,13.85,UY,overcast clouds,2021-04-25 21:04:33
81,Anadyr,64.75,177.4833,24.8,100,75,4.47,RU,fog,2021-04-25 21:06:04
82,Xiongyue,40.1774,122.1228,53.06,37,100,5.59,CN,overcast clouds,2021-04-25 21:06:05
83,Ushirombo,-3.4919,31.9639,66.02,93,100,2.06,TZ,overcast clouds,2021-04-25 21:06:05
84,Norman Wells,65.282,-126.8329,37.4,38,20,14.97,CA,few clouds,2021-04-25 21:04:25
85,Tommot,58.9564,126.2925,35.02,98,100,5.99,RU,light snow,2021-04-25 21:02:57
86,Verkhnyaya Inta,65.9811,60.3094,40.77,83,100,13.85,RU,overcast clouds,2021-04-25 21:06:06
87,Bluff,-46.6,168.3333,46.0,80,76,13.0,NZ,broken clouds,2021-04-25 21:06:07
88,Ribas Do Rio Pardo,-20.4431,-53.7592,76.6,54,99,11.1,BR,overcast clouds,2021-04-25 21:06:07
89,Vestmannaeyjar,63.4427,-20.2734,45.03,81,0,19.26,IS,clear sky,2021-04-25 21:06:07
90,Genhe,50.7833,121.5167,39.69,47,100,3.62,CN,overcast clouds,2021-04-25 21:06:08
91,Auki,-8.7676,160.7034,80.83,85,63,1.99,SB,broken clouds,2021-04-25 21:06:08
